QUESTION,STATION,TRANSECT,ROCK,HARVEST,LENGTH_M,START_X,START_Y,END_X,END_Y,LABEL,PRIMARY,NUMTRANSECTS,TRANSECTPOSITION
2,LCO15,14,ROCK,N,22.43571838,295774.1782,3237700.887,,,LCO15-14,2,5,5
2,LCO15,18,ROCK,N,22.43571838,295774.1782,3237700.887,,,LCO15-18,2,5,2
2,LCO15,19,ROCK,N,22.43571838,295774.1782,3237700.887,,,LCO15-19,2,5,4
2,LCO15,20,ROCK,N,22.43571838,295818.7637,3237650.465,,,LCO15-20,2,3,3
2,LCO15,21,ROCK,N,22.43571838,295818.7637,3237650.465,,,LCO15-21,2,3,4
2,LCO15,22,ROCK,N,22.43571838,295818.7637,3237650.465,,,LCO15-22,2,3,5
2,LCO15,23,ROCK,N,22.43571838,295744.4546,3237734.502,,,LCO15-23,2,4,1
2,LCO15,24,ROCK,N,22.43571838,295744.4546,3237734.502,,,LCO15-24,2,4,2
2,LCO15,25,ROCK,N,22.43571838,295744.4546,3237734.502,,,LCO15-25,2,4,3
2,LCO15,26,ROCK,N,22.43571838,295744.4546,3237734.502,,,LCO15-26,2,4,4
2,LCO17,1,ROCK,Y,21.97183218,295959.9569,3236972.935,,,LCO17-1,1,5,1
2,LCO17,2,ROCK,Y,21.97183218,295959.9569,3236972.935,,,LCO17-2,1,5,3
2,LCO17,12,ROCK,Y,21.97183218,295959.9569,3236972.935,,,LCO17-12,1,5,2
2,LCO17,13,ROCK,Y,21.97183218,295959.9569,3236972.935,,,LCO17-13,1,5,4
2,LCO17,21,ROCK,Y,21.97183218,295959.9569,3236972.935,,,LCO17-21,1,5,5
2,LCO18,4,ROCK,Y,21.97183218,296039.9788,3236777.247,,,LCO18-4,2,1,3
2,LCO19,6,ROCK,Y,22,296261.1408,3236415.608,,,LCO19-6,1,1,1
2,LCO19,9,ROCK,Y,24.1,296219.0078,3236492.738,,,LCO19-9,1,5,3
2,LCO19,10,ROCK,Y,23.12,296219.0078,3236492.738,,,LCO19-10,1,5,4
2,LCO19,19,ROCK,Y,21.97183218,296145.275,3236627.715,,,LCO19-19,1,1,3
2,LCO19,22,ROCK,Y,22.93,296219.0078,3236492.738,,,LCO19-22,1,5,2
2,LCO19,23,ROCK,Y,22.09,296219.0078,3236492.738,,,LCO19-23,1,5,1
2,LCO19,24,ROCK,Y,22.33,296240.0743,3236454.173,,,LCO19-24,1,5,2
2,LCO19,25,ROCK,Y,22.92,296240.0743,3236454.173,,,LCO19-25,1,5,3
2,LCO19,26,ROCK,Y,23.31,296240.0743,3236454.173,,,LCO19-26,1,5,5
2,LCO19,34,ROCK,Y,22.54,296219.0078,3236492.738,,,LCO19-34,1,5,5
2,LCO19,35,ROCK,Y,22,296240.0743,3236454.173,,,LCO19-35,1,5,1
2,LCO19,36,ROCK,Y,23.47,296240.0743,3236454.173,,,LCO19-36,1,5,4
2,LCO20,15,ROCK,Y,24.1,296408.8006,3235963.976,,,LCO20-15,2,5,3
2,LCO20,17,ROCK,Y,21.97183218,296429.5748,3235925.253,,,LCO20-17,1,2,4
2,LCO20,32,ROCK,Y,22,296419.1877,3235944.615,,,LCO20-32,2,4,1
2,LCO20,33,ROCK,Y,22,296419.1877,3235944.615,,,LCO20-33,2,4,2
2,LCO20,35,ROCK,Y,25,296419.1877,3235944.615,,,LCO20-35,2,4,4
2,LCO20,39,ROCK,Y,21.97183218,296346.478,3236080.146,,,LCO20-39,1,3,1
2,LCO20,40,ROCK,Y,21.97183218,296346.478,3236080.146,,,LCO20-40,1,3,2
2,LCO20,41,ROCK,Y,21.97183218,296346.478,3236080.146,,,LCO20-41,1,3,3
2,LCO20,42,ROCK,Y,21.97183218,296429.5748,3235925.253,,,LCO20-42,1,2,5
2,LCO20,43,ROCK,Y,21.97183218,296356.8651,3236060.784,,,LCO20-43,1,4,1
2,LCO20,44,ROCK,Y,21.97183218,296356.8651,3236060.784,,,LCO20-44,1,4,2
2,LCO20,45,ROCK,Y,21.97183218,296356.8651,3236060.784,,,LCO20-45,1,4,3
2,LCO20,46,ROCK,Y,21.97183218,296356.8651,3236060.784,,,LCO20-46,1,4,5
2,LCO20,47,ROCK,Y,21.97183218,296398.4135,3235983.338,,,LCO20-47,1,1,4
2,LCO20,48,ROCK,Y,22,296408.8006,3235963.976,,,LCO20-48,2,5,1
2,LCO20,49,ROCK,Y,23.6,296408.8006,3235963.976,,,LCO20-49,2,5,2
2,LCO20,50,ROCK,Y,25,296408.8006,3235963.976,,,LCO20-50,2,5,4
2,LCO20,51,ROCK,Y,24.5,296408.8006,3235963.976,,,LCO20-51,2,5,5
2,LCO20,52,ROCK,Y,22.5,296419.1877,3235944.615,,,LCO20-52,2,4,5
2,LCO21,8,ROCK,Y,21.97183218,296555.0063,3235646.631,,,LCO21-8,1,5,1
2,LCO21,9,ROCK,Y,21.97183218,296555.0063,3235646.631,,,LCO21-9,1,5,3
2,LCO21,10,ROCK,Y,21.97183218,296555.0063,3235646.631,,,LCO21-10,1,5,5
2,LCO21,13,ROCK,Y,21.97183218,296564.7167,3235626.921,,,LCO21-13,1,1,3
2,LCO21,26,ROCK,Y,21.97183218,296535.5855,3235686.05,,,LCO21-26,1,4,1
2,LCO21,28,ROCK,Y,21.97183218,296535.5855,3235686.05,,,LCO21-28,1,4,3
2,LCO21,29,ROCK,Y,21.97183218,296535.5855,3235686.05,,,LCO21-29,1,4,4
2,LCO21,30,ROCK,Y,21.97183218,296535.5855,3235686.05,,,LCO21-30,2,4,5
2,LCO21,37,ROCK,Y,21.97183218,296555.0063,3235646.631,,,LCO21-37,1,5,2
2,LCO21,38,ROCK,Y,21.97183218,296555.0063,3235646.631,,,LCO21-38,1,5,4
2,LCO22,2,ROCK,Y,21.97183218,296673.878,3235457.511,,,LCO22-2,1,3,1
2,LCO22,3,ROCK,Y,21.97183218,296673.878,3235457.511,,,LCO22-3,1,3,2
2,LCO22,4,ROCK,Y,21.97183218,296673.878,3235457.511,,,LCO22-4,1,3,4
2,LCO6,1,ROCK,N,27.16947743,294592.7542,3238982.222,,,LCO6-1,2,5,1
2,LCO6,2,ROCK,N,27.16947743,294592.7542,3238982.222,,,LCO6-2,2,5,2
2,LCO6,3,ROCK,N,27.16947743,294592.7542,3238982.222,,,LCO6-3,2,5,3
2,LCO6,4,ROCK,N,27.16947743,294592.7542,3238982.222,,,LCO6-4,2,5,4
2,LCO6,5,ROCK,N,27.16947743,294592.7542,3238982.222,,,LCO6-5,2,5,5
1,LCO9C,1,ROCK,N,22.4,294903.28,3238662.02,294921.61,3238648.78,LCO9C-1,1,,
1,LCO9C,2,ROCK,N,22.85,294904.01,3238663.09,294922.51,3238650.04,LCO9C-2,1,,
1,LCO9C,3,ROCK,N,22.5,294905.08,3238664.31,294923.33,3238651.41,LCO9C-3,1,,
1,LCO9C,4,ROCK,N,22.4,294905.97,3238665.53,294924.24,3238652.57,LCO9C-4,1,,
1,LCO9C,5,ROCK,N,22,294906.73,3238666.82,294925.02,3238653.54,LCO9C-5,1,,
2,LTI18,1,NO ROCK,N,20.67340585,298368.8648,3238377.733,298389.5382,3238377.733,LTI18-1,1,,
2,LTI19,1,NO ROCK,N,15.86922072,298304.2369,3238245.733,298320.1061,3238245.733,LTI19-1,2,,
